ok_iso_utc,ok_iso_chicago,ok_epoch_ms,wrong_epoch_ms_but_seconds,double_utc_like,ambiguous_us_eu,unrelated_local_str
2025-03-09T07:00:00.000Z,2025-03-09T01:00:00-06:00,1741503600000,1741503600,2025-03-09T01:00:00.000Z,03/08/2025 23:00:00,2025-03-10 07:00:00
2025-03-09T07:15:00.000Z,2025-03-09T01:15:00-06:00,1741504500000,1741504500,2025-03-09T01:15:00.000Z,08/03/2025 23:15:00,2025-03-11 07:15:00
2025-03-09T07:30:00.000Z,2025-03-09T01:30:00-06:00,1741505400000,1741505400,2025-03-09T01:30:00.000Z,03/08/2025 23:30:00,2025-03-12 07:30:00
2025-03-09T07:45:00.000Z,2025-03-09T01:45:00-06:00,1741506300000,1741506300,2025-03-09T01:45:00.000Z,08/03/2025 23:45:00,2025-03-10 07:45:00
2025-03-09T08:00:00.000Z,2025-03-09T03:00:00-05:00,1741507200000,1741507200,2025-03-09T03:00:00.000Z,03/09/2025 00:00:00,2025-03-11 08:00:00
2025-03-09T08:15:00.000Z,2025-03-09T03:15:00-05:00,1741508100000,1741508100,2025-03-09T03:15:00.000Z,09/03/2025 00:15:00,2025-03-12 08:15:00
2025-03-09T08:30:00.000Z,2025-03-09T03:30:00-05:00,1741509000000,1741509000,2025-03-09T03:30:00.000Z,03/09/2025 00:30:00,2025-03-10 08:30:00
2025-03-09T08:45:00.000Z,2025-03-09T03:45:00-05:00,1741509900000,1741509900,2025-03-09T03:45:00.000Z,09/03/2025 00:45:00,2025-03-11 08:45:00
2025-03-09T09:00:00.000Z,2025-03-09T04:00:00-05:00,1741510800000,1741510800,2025-03-09T04:00:00.000Z,03/09/2025 01:00:00,2025-03-12 09:00:00
2025-03-09T09:15:00.000Z,2025-03-09T04:15:00-05:00,1741511700000,1741511700,2025-03-09T04:15:00.000Z,09/03/2025 01:15:00,2025-03-10 09:15:00
,,,,,,
2025-03-09T09:45:00.000Z,2025-03-09T04:45:00-05:00,1741513500000,1741513500,2025-03-09T04:45:00.000Z,09/03/2025 01:45:00,2025-03-12 09:45:00
2025-03-09T10:00:00.000Z,2025-03-09T05:00:00-05:00,1741514400000,1741514400,2025-03-09T05:00:00.000Z,03/09/2025 03:00:00,2025-03-10 10:00:00
